user address,power_user,bgt_delegator,ibgt_lover,ibgt_enjoyoor,infrared_is_key,points_total,weight
0x027fc383d96b153f91eea0b470db8ad3a4d32dfd,1,1,2,3,3,10,0.000726807570427654
0x0b94b5f7310564adfab1b9ba044297d3b9950b86,1,1,2,3,3,10,0.000726807570427654
0x0d32f1a2a581a67035efdba62e96d362d0f59530,1,1,2,3,3,10,0.000726807570427654
0x0fed91a2e5304ddc6201fefd756335195e97410c,1,1,2,3,3,10,0.000726807570427654
0x18a428ce0c31584a21cf8cefdb8849d8013e1994,1,1,2,3,3,10,0.000726807570427654
0x1a8bb79dcc548d89c026e9bd7fede4a71b0b44a9,1,1,2,3,3,10,0.000726807570427654
0x2079e0bd4746e8f681cb461f85158d3292d5c9fc,1,1,2,3,3,10,0.000726807570427654
0x28badd4c4603d3ffda223fff00cdf695402ee4de,1,1,2,3,3,10,0.000726807570427654
0x2e037e50f86ff99aec58637e900c3c1c460805bb,1,1,2,3,3,10,0.000726807570427654
0x4843eeee9c10822e040d8119691da909192680dc,1,1,2,3,3,10,0.000726807570427654
0x619dba6a9494fea1f551810882d7bce91e374ae0,1,1,2,3,3,10,0.000726807570427654
0x65e24442b16602d95883d2379ae7069a6de8910a,1,1,2,3,3,10,0.000726807570427654
0x6d57e82bbbb8175c42799aef28987edfafa322f2,1,1,2,3,3,10,0.000726807570427654
0x6f0d7d31f8124621a91c7d27803f60dbf54e42bc,1,1,2,3,3,10,0.000726807570427654
0x71dc4e763daad3386c1a1428ae34f488fcb8d67b,1,1,2,3,3,10,0.000726807570427654
0x738f0cee2e160178cd61c1792adcfdb8de10e6de,1,1,2,3,3,10,0.000726807570427654
0x7434577e3743c236b81b0d752d8ef4fb6752e413,1,1,2,3,3,10,0.000726807570427654
0x7c3bde1db3ddcbe3b19cc21cc21d5535335b8056,1,1,2,3,3,10,0.000726807570427654
0x8997ab7a3b626f334c85a161f02a58bb0f01ebda,1,1,2,3,3,10,0.000726807570427654
0x96e9912f00c3e762b76c4088687248a320a99f06,1,1,2,3,3,10,0.000726807570427654
0xa2bab8f7f54c3a1d16f2317d43b359034cb62bef,1,1,2,3,3,10,0.000726807570427654
0xa43157c581155556f9b571126d287df606b9a628,1,1,2,3,3,10,0.000726807570427654
0xa460c3a5ddda019780a557ec479628555d90a374,1,1,2,3,3,10,0.000726807570427654
0xabf82f02747aa5201baf069a5242bd00fc351128,1,1,2,3,3,10,0.000726807570427654
0xaf7df2fba9d63d498424ea5505595c68014da619,1,1,2,3,3,10,0.000726807570427654
0xb696d48ef52670cdfc719259d0e1bff994bcabde,1,1,2,3,3,10,0.000726807570427654
0xbd9847f56664955f291f32e895bc04c87a814cbc,1,1,2,3,3,10,0.000726807570427654
0xbf5926098789ccad55f4fa4976b302a4e0b00536,1,1,2,3,3,10,0.000726807570427654
0xbfc6d49e7bee26e06c8f5c1886fd4c99554c93e9,1,1,2,3,3,10,0.000726807570427654
0xc3041115920f181a2701414a3949ccf19ef2772f,1,1,2,3,3,10,0.000726807570427654
0xc36f2fe0f39a46a45c89bbf92d2531f7d1389062,1,1,2,3,3,10,0.000726807570427654
0xd02df454eebf85278b3c257ebc880709dc5e96ce,1,1,2,3,3,10,0.000726807570427654
0xe31959882e951c2895c0fd0f1d28215ca917aa8a,1,1,2,3,3,10,0.000726807570427654
0xe93bad1ced0d19a91aa4de6d682ef3942e2ffc1f,1,1,2,3,3,10,0.000726807570427654
0xeb17b18d1c1503e6f090fc15c2318903d0a906f2,1,1,2,3,3,10,0.000726807570427654
0x21f74bb7dde14b2d5da36df2d57aaa891e3a0039,1,0,2,3,3,9,0.000588714132046399
0x4dd6e84e6707baaa3744037648d76a9be537459e,1,0,2,3,3,9,0.000588714132046399
0x9d911ed974fe8e28233a8e39e199b016b47625fe,1,0,2,3,3,9,0.000588714132046399
0xa27497315553eb215a13bb7c49000366bc067337,1,0,2,3,3,9,0.000588714132046399
0xc948f617d092e04279d08afecaa598a8e0ed45e0,1,0,2,3,3,9,0.000588714132046399
0xcb187a27512561b3c34afd0b8a877d9c889a66c8,1,0,2,3,3,9,0.000588714132046399
0xce57cf76db84ffd948fbf05b8f34782fb140b746,1,0,2,3,3,9,0.000588714132046399
0xdabedbfe4b6f6fc6f238feb4d2e42ffe6069506a,1,0,2,3,3,9,0.000588714132046399
0xe76f1230c61160206306cb55e524d5843bad697a,1,0,2,3,3,9,0.000588714132046399
0x3f286cc85f53d1fb7fe9ada4abd030f01ee45228,1,1,0,3,3,8,0.000465156845073698
0xadcf1c25c9417072708271e8ece7c3675e2b2be8,1,1,0,3,3,8,0.000465156845073698
0x00021b28a0b78013e5918dc500aae3715696125a,1,1,2,3,0,7,0.00035613570950955
0x006e19101cac0fa8740d6e39768e83b957c5c06c,1,1,2,3,0,7,0.00035613570950955
0x00912c5c2a6f3423915bd62d963bfa6a17334cb3,1,1,2,3,0,7,0.00035613570950955
0x00d7398236acb046ddc5606b7545da6d3053237d,1,1,2,3,0,7,0.00035613570950955
0x013d059dfd1bb0e784119f2179db2587f1fc6be4,1,1,2,3,0,7,0.00035613570950955
0x01be2cd68f6c9f1b93327168ac6badc3254807d5,1,1,2,3,0,7,0.00035613570950955
0x02368fc51d9b7a5a15b7f4477a65f0f707c049e0,1,1,2,3,0,7,0.00035613570950955
0x02f428e53427574497875fc8db9b4bb816475185,1,1,2,3,0,7,0.00035613570950955
0x03625cb5e7a1bb174dc3d8471e513cd0c8e32ffa,1,1,2,3,0,7,0.00035613570950955
0x03ae13ef3d8bea2be0e7dd50474b8bc3f236812e,1,1,2,3,0,7,0.00035613570950955
0x03b6d486e3b9c0ca35761e968deb14cd627ea821,1,1,2,3,0,7,0.00035613570950955
0x0403bbf1e922e995cb6820b4994465d00c296938,1,1,2,3,0,7,0.00035613570950955
0x04665ece39dec260886285ce4cf701e3bd576765,1,1,2,3,0,7,0.00035613570950955
0x04b87a131c20d0bf770b13947e1a2797ea252539,1,1,2,3,0,7,0.00035613570950955
0x055e4920565655920848e16d3028f773823a9051,1,1,2,3,0,7,0.00035613570950955
0x058d83fc1b71d19046b7164b3d751e61c89cbb65,1,1,2,3,0,7,0.00035613570950955
0x059f07ab96e4e66be2953dfa91af15ed1e99839b,1,1,2,3,0,7,0.00035613570950955
0x05d8818608c0c9cdc9606f4dbad32972175a389e,1,1,2,3,0,7,0.00035613570950955
0x06c21ede1dc352e45dfe614c8a0aa7d92fd7fdf1,1,1,2,3,0,7,0.00035613570950955
0x071a1497018700ae04662e92ca0cf4f7ec639cc7,1,1,2,3,0,7,0.00035613570950955
0x07bfc14e7dd6f0d437edfebaaa37d995f1d22d49,1,1,2,3,0,7,0.00035613570950955
0x07d3d47c24738c638e02228f3057a83160e03b2f,1,1,2,3,0,7,0.00035613570950955
0x07ed3e8e3ce42087e825011c316e17f0051cc983,1,1,2,3,0,7,0.00035613570950955
0x08471f1fbd6614254aa360c82d40d49d014710a4,1,1,2,3,0,7,0.00035613570950955
0x088ee5c2d7bf96951ecfe2ceed3f944a3164d5d4,1,1,2,3,0,7,0.00035613570950955
0x0895b09824d0c7e663c32703ac8c0db9bffedf8b,1,1,2,3,0,7,0.00035613570950955
0x08f0acbf4c1b2d4b15fd9b45120cafc50bbc3e78,1,1,2,3,0,7,0.00035613570950955
0x094c878898ff2b3ef7879eb8558f948b94c81045,1,1,2,3,0,7,0.00035613570950955
0x097ba4a0dd30c3ad9fa01d3cafa17503ffa7aa57,1,1,2,3,0,7,0.00035613570950955
0x099b56fd9c438b4113762101ebb4010d7da1e01c,1,1,2,3,0,7,0.00035613570950955
0x09d791d1226c6b09cfc8e250491ca601cfda0057,1,1,2,3,0,7,0.00035613570950955
0x09db4167fce02a676c05c204075e6f37c4cd2bb0,1,1,2,3,0,7,0.00035613570950955
0x09e25b7a88155d1c022137af6ba14e856e264169,1,1,2,3,0,7,0.00035613570950955
0x09fb14ec8bcdb32aaa4a5d908c5095e8d560c694,1,1,2,3,0,7,0.00035613570950955
0x0a029f712ed3aae14ad71e0dcb03ad3f99fe5fbf,1,1,2,3,0,7,0.00035613570950955
0x0a7c707210d1737a46148e6d95bcd200a2631f66,1,1,2,3,0,7,0.00035613570950955
0x0b0a6c36ad7f696a41f7de287eeb390f6167d339,1,1,2,3,0,7,0.00035613570950955
0x0b60abe5886bda278862b4cc03a80f502246f793,1,0,0,3,3,7,0.00035613570950955
0x0b71e6641e356f3ba31d3ed4ea006dd1b227bdc9,1,1,2,3,0,7,0.00035613570950955
0x0b882928fd876cdba712f996ed69dd9292c636d5,1,1,2,3,0,7,0.00035613570950955
0x0ba2284aafaed001a416b1d8955dddddc9ff25d8,1,1,2,3,0,7,0.00035613570950955
0x0bd48892671650cd5377368ebdf9a19b09837f08,1,1,2,3,0,7,0.00035613570950955
0x0bfd61995698d6d4995ddb0f11cb0e168167f856,1,1,2,3,0,7,0.00035613570950955
0x0c415603f88ddcac90a2a9b9c99b27edb6e79e97,1,1,2,3,0,7,0.00035613570950955
0x0c6293473e571954444f0b248ca75cf48e60c13c,1,1,2,3,0,7,0.00035613570950955
0x0c8ab35eaced5e2a5a1bc468743156d4aa5e9268,1,1,2,3,0,7,0.00035613570950955
0x0d3b3041b77d6fb8f876c4ff8419543d7f2a032f,1,1,2,3,0,7,0.00035613570950955
0x0d465d13b7f4637f155fd6ce225349082b2a8940,1,1,2,3,0,7,0.00035613570950955
0x0dce1f74b58acd3f66cea80a18b97a8f20aa16af,1,1,2,3,0,7,0.00035613570950955
0x0df506a50efd7880aaa69238af93195c4835105d,1,1,2,3,0,7,0.00035613570950955
0x0e2ac308d6dd6b42cd494e0c3baa7737e2249f8f,1,1,2,3,0,7,0.00035613570950955
0x0ec3cf75fb5aad8ec6b26b778b561abf438b2648,1,1,2,3,0,7,0.00035613570950955
0x0ecbe56e20c2a38be6a53113c871f5ebd70a8e87,1,1,2,3,0,7,0.00035613570950955
0x0ee951bc9d1b10afbf073bf246cce7d14346f652,1,1,2,3,0,7,0.00035613570950955
0x0f691bf57e014a31aada60550d0518927792d5b4,1,1,2,3,0,7,0.00035613570950955
0x0f7a474dc1f68088efa0264517bb73c6d98a2212,1,1,2,3,0,7,0.00035613570950955
0x0fc64b229ffdef38a9f797bcf5af79bb67387ca4,1,1,2,3,0,7,0.00035613570950955
0x0fcf9f7e1974acb95386a5ca9f1594908b449264,1,1,2,3,0,7,0.00035613570950955
0x0fd1f80dd88904528b32dfe5051aef0e693bbdb1,1,1,2,3,0,7,0.00035613570950955
0x1014d57ada2f05b967578beb253e28fa31172c39,1,1,2,3,0,7,0.00035613570950955
0x106976f5df371fff90a818e69eff1ff871f9127b,1,1,2,3,0,7,0.00035613570950955
0x108bcc101a0460abb02aebfc0226637ee139c6c5,1,1,2,3,0,7,0.00035613570950955
0x112435ff1e260052b17efb03d2486354ecce2137,1,1,2,3,0,7,0.00035613570950955
0x118cf81fbae2ece35fbd6bbc7e2d9cb513df1cc3,1,1,2,3,0,7,0.00035613570950955
0x118e187c4e9115de34bc3cb5bc7bc34dfed03d08,1,1,2,3,0,7,0.00035613570950955
0x125b53ad9e65b256b28d2a058d4b36595288178f,1,1,2,3,0,7,0.00035613570950955
0x1261b034f7492a97c3188a69a290166079299097,1,1,2,3,0,7,0.00035613570950955
0x129e214f1a13f5265d1d66f9c126c22a4f25b9e0,1,1,2,3,0,7,0.00035613570950955
0x12b8f013f0f765a8d66da0a8b7ed7950396d561d,1,1,2,3,0,7,0.00035613570950955
0x12d0ced4220f5acd0b0749bda0747a2051fbb280,1,1,2,3,0,7,0.00035613570950955
0x135ba4dd907e038ed1fa28d58389bc60fe86ff5a,1,1,2,3,0,7,0.00035613570950955
0x1365761b5bb5e5f5a69929157f9c84c8579fbb18,1,1,2,3,0,7,0.00035613570950955
0x13b3ff6f1d996eaf36022ea2a92669e1371e46d7,1,1,2,3,0,7,0.00035613570950955
0x13b91b3ff58886ace7637e547c53bbc2936d803f,1,1,2,3,0,7,0.00035613570950955
0x13c4139035534b11284c6626187ee8f3aed89599,1,1,2,3,0,7,0.00035613570950955
0x149cb8dc7a151269e294208a166896714223f968,1,1,2,3,0,7,0.00035613570950955
0x15a172e53dbac1f6183df6b145da485c7cdd74ee,1,1,2,3,0,7,0.00035613570950955
0x15c193bed8fdeb4f12e29860ef3ffe4e91c9bbd2,1,1,2,3,0,7,0.00035613570950955
0x15c27ed229c6c345748603ea5dd53f6eb18b7eb7,1,1,2,3,0,7,0.00035613570950955
0x160d91179b95621e8ed426c0f1520ae51c5801c6,1,1,2,3,0,7,0.00035613570950955
0x163b33c875cd58acaeb557fdc00e30e17f826730,1,1,2,3,0,7,0.00035613570950955
0x166b0e967bf17571fc2df38064a36ed6871d6118,1,1,2,3,0,7,0.00035613570950955
